sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class,,,,,
1,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
2,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
3,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
4,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
5,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,10000
6,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,6422,,,,,
7,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
8,0.0316,0.0515,0.0262,0.0803,0.2748,0.3417,0.3706,0.3487,0.1264,0.0634,6422,,,,,
9,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
10,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
11,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
12,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
13,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
14,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
15,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
16,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
